from	to	weight
ANKRD42	hsa-mir-382.MIMAT0000737	0.215387980406716
ANKRD50	hsa-mir-134.MIMAT0000447	0.212758946199053
ANO6	hsa-mir-431.MIMAT0004757	0.23709945721308
ANP32E	hsa-mir-134.MIMAT0000447	0.221758387871043
ANP32E	hsa-mir-337.MIMAT0000754	0.224478078430695
ANP32E	hsa-mir-382.MIMAT0000737	0.217120524022494
ANP32E	hsa-mir-493.MIMAT0002813	0.249915099606868
ANTXR1	hsa-mir-376c.MIMAT0000720	0.227741707102278
ANTXR1	hsa-mir-377.MIMAT0004689	0.231144917776128
ANTXR1	hsa-mir-493.MIMAT0003161	0.269263755302677
AOC3	hsa-mir-337.MIMAT0000754	0.299164522571993
AOC3	hsa-mir-381.MIMAT0000736	0.23508918858248
AOC3	hsa-mir-411.MIMAT0003329	0.218307690536628
AOC3	hsa-mir-432.MIMAT0002814	0.254607645064553
AOC3	hsa-mir-485.MIMAT0002176	0.220326593105512
AOC3	hsa-mir-487b.MIMAT0003180	0.239611933253901
AOC3	hsa-mir-495.MIMAT0002817	0.24141498736567
APOD	hsa-mir-381.MIMAT0000736	0.219565367546753
ARHGAP1	hsa-mir-127.MIMAT0000446	0.279444607529945
ARHGAP1	hsa-mir-134.MIMAT0000447	0.307255961734386
ARHGAP1	hsa-mir-337.MIMAT0000754	0.297007476990554
ARHGAP1	hsa-mir-369.MIMAT0000721	0.21580672641352
ARHGAP1	hsa-mir-370.MIMAT0000722	0.230959288103009
ARHGAP1	hsa-mir-376c.MIMAT0000720	0.219667535816454
ARHGAP1	hsa-mir-377.MIMAT0004689	0.221725291107619
ARHGAP1	hsa-mir-379.MIMAT0000733	0.287938963812287
ARHGAP1	hsa-mir-382.MIMAT0000737	0.315279768380216
ARHGAP1	hsa-mir-409.MIMAT0001639	0.266997346502967
ARHGAP1	hsa-mir-410.MIMAT0002171	0.260592403285501
ARHGAP1	hsa-mir-411.MIMAT0003329	0.248825784393293
ARHGAP1	hsa-mir-431.MIMAT0001625	0.231032676578428
ARHGAP1	hsa-mir-432.MIMAT0002814	0.266467798288178
ARHGAP1	hsa-mir-487b.MIMAT0003180	0.315239476668221
ARHGAP1	hsa-mir-493.MIMAT0002813	0.297819067189308
ARHGAP1	hsa-mir-495.MIMAT0002817	0.255574646152429
ARHGAP1	hsa-mir-654.MIMAT0004814	0.246391013797033
ARHGAP1	hsa-mir-758.MIMAT0003879	0.315347400896778
ARHGAP11A	hsa-mir-382.MIMAT0000737	0.234844560331083
ARHGAP11A	hsa-mir-493.MIMAT0002813	0.254057950993766
ARHGAP20	hsa-mir-127.MIMAT0000446	0.263135098110319
ARHGAP20	hsa-mir-127.MIMAT0004604	0.24478654026581
ARHGAP20	hsa-mir-134.MIMAT0000447	0.314938727817974
ARHGAP20	hsa-mir-337.MIMAT0000754	0.344278289098789
ARHGAP20	hsa-mir-369.MIMAT0001621	0.258606597480041
ARHGAP20	hsa-mir-379.MIMAT0000733	0.302613780916694
ARHGAP20	hsa-mir-381.MIMAT0000736	0.227534492583447
ARHGAP20	hsa-mir-382.MIMAT0000737	0.285463901504032
ARHGAP20	hsa-mir-409.MIMAT0001638	0.291434269827839
ARHGAP20	hsa-mir-411.MIMAT0003329	0.301835287481365
ARHGAP20	hsa-mir-495.MIMAT0002817	0.311406008069854
ARHGAP20	hsa-mir-539.MIMAT0003163	0.219736607322731
ARHGAP20	hsa-mir-758.MIMAT0003879	0.254895443007373
ARHGAP28	hsa-mir-127.MIMAT0004604	0.227990652322817
ARHGAP28	hsa-mir-134.MIMAT0000447	0.264601428628988
ARHGAP28	hsa-mir-337.MIMAT0000754	0.257361871377343
ARHGAP28	hsa-mir-382.MIMAT0000737	0.234319329085436
ARHGAP6	hsa-mir-337.MIMAT0000754	0.249879124864015
ARHGEF15	hsa-mir-495.MIMAT0002817	0.221614488899633
ARL15	hsa-mir-655.MIMAT0003331	0.24019760206754
ARL16	hsa-mir-493.MIMAT0002813	0.218886164401697
ARMC9	hsa-mir-493.MIMAT0002813	0.216025452850063
ARSE	hsa-mir-134.MIMAT0000447	0.250100729279987
ARSE	hsa-mir-409.MIMAT0001639	0.252500964123108
ARSE	hsa-mir-493.MIMAT0003161	0.217022672721935
ASAM	hsa-mir-127.MIMAT0004604	0.248952415488134
ASAM	hsa-mir-134.MIMAT0000447	0.282282295246154
ASAM	hsa-mir-337.MIMAT0000754	0.307523613821208
ASAM	hsa-mir-379.MIMAT0000733	0.215239764466164
ASAM	hsa-mir-409.MIMAT0001638	0.287167665325528
ASNS	hsa-mir-337.MIMAT0000754	0.215569293110693
ASPA	hsa-mir-337.MIMAT0000754	0.213959063620613
ASPA	hsa-mir-432.MIMAT0002814	0.289524730477227
ASPM	hsa-mir-337.MIMAT0000754	0.222487955656093
ASPM	hsa-mir-487b.MIMAT0003180	0.252735519446507
ASPM	hsa-mir-493.MIMAT0002813	0.259657059971335
ASPM	hsa-mir-654.MIMAT0004814	0.222358446581824
ASPN	hsa-mir-377.MIMAT0004689	0.227133014453213
ASPN	hsa-mir-409.MIMAT0001639	0.390839679277973
ASPN	hsa-mir-493.MIMAT0003161	0.313360156101604
ASPN	hsa-mir-758.MIMAT0003879	0.339908077337063
ASXL3	hsa-mir-410.MIMAT0002171	0.221070550787703
ASXL3	hsa-mir-758.MIMAT0003879	0.215695924205534
ATP6AP1L	hsa-mir-342.MIMAT0000753	0.21839259092976
ATP6AP1L	hsa-mir-342.MIMAT0004694	0.25952898988678
ATP8B2	hsa-mir-337.MIMAT0000754	0.255699838257556
ATP8B2	hsa-mir-495.MIMAT0002817	0.220510783788917
AURKA	hsa-mir-382.MIMAT0000737	0.227743146091992
AURKB	hsa-mir-382.MIMAT0000737	0.226294083449892
AVPR1A	hsa-mir-432.MIMAT0002814	0.217470198523021
AVPR1A	hsa-mir-485.MIMAT0002176	0.213872724237767
AVPR1A	hsa-mir-495.MIMAT0002817	0.216022574870635
AXL	hsa-mir-369.MIMAT0001621	0.256941686380826
AXL	hsa-mir-485.MIMAT0002176	0.283325562788877
BCL6B	hsa-mir-432.MIMAT0002814	0.217766630404126
BEAN	hsa-mir-127.MIMAT0004604	0.238570104700892
BEAN	hsa-mir-136.MIMAT0000448	0.245409622812016
BEAN	hsa-mir-376c.MIMAT0000720	0.228795047573
BGN	hsa-mir-127.MIMAT0000446	0.279057519296852
BGN	hsa-mir-136.MIMAT0004606	0.21814364570922
